Blocks,Age,Faults,Time,Result,Output
14,2,0,629,0.169,0
14,1,0,544,0.093,0
4,14,20,154,0.277,0
15,1,0,590,0.092,0
8,10,3,294,0.784,1
15,0,0,605,0.036,0
15,4,0,735,0.406,0
15,5,0,532,0.733,0
14,3,0,629,0.287,0
14,2,0,544,0.188,0
4,15,20,154,0.315,0
15,2,0,590,0.184,0
9,0,3,318,0.011,0
15,1,0,605,0.09,0
15,5,0,735,0.578,0
15,6,0,532,0.991,1
14,4,0,629,0.44,0
14,3,0,544,0.32,0
4,16,20,154,0.356,0
15,3,0,590,0.312,0
9,1,3,318,0.03,0
15,2,0,605,0.18,0
15,6,0,735,0.78,1
16,0,0,594,0.038,0
14,5,0,629,0.626,0
14,4,0,544,0.49,0
4,17,20,154,0.399,0
15,4,0,590,0.477,0
9,2,3,318,0.064,0
15,3,0,605,0.306,0
16,0,0,756,0.032,0
16,1,0,594,0.094,0
14,6,0,629,0.846,1
14,5,0,544,0.698,0
4,18,20,154,0.445,0
15,5,0,590,0.68,0
9,3,3,318,0.11,0
15,4,0,605,0.469,0
16,1,0,756,0.079,0
16,2,0,594,0.188,0
15,0,0,675,0.032,0
14,6,0,544,0.944,1
4,19,20,154,0.493,0
15,6,0,590,0.919,1
9,4,3,318,0.17,0
15,5,0,605,0.668,0
16,2,0,756,0.158,0
16,3,0,594,0.32,0
15,1,0,675,0.082,0
15,0,0,582,0.036,0
4,20,20,154,0.543,0
16,0,0,638,0.036,0
9,5,3,318,0.243,0
15,6,0,605,0.902,1
16,3,0,756,0.269,0
16,4,0,594,0.489,0
15,2,0,675,0.166,0
15,1,0,582,0.092,0
4,21,20,154,0.596,0
16,1,0,638,0.089,0
9,6,3,318,0.33,0
16,0,0,637,0.036,0
16,4,0,756,0.411,0
16,5,0,594,0.696,1
15,3,0,675,0.282,0
15,2,0,582,0.185,0
4,22,20,154,0.651,0
16,2,0,638,0.178,0
9,7,3,318,0.429,0
16,1,0,637,0.089,0
16,5,0,756,0.584,0
17,0,0,657,0.036,0
15,4,0,675,0.431,0
15,3,0,582,0.314,0
4,23,20,154,0.709,1
16,3,0,638,0.303,0
9,8,3,318,0.542,0
16,2,0,637,0.178,0
16,6,0,756,0.79,1
17,1,0,657,0.09,0
15,5,0,675,0.615,0
15,4,0,582,0.481,0
5,0,20,170,0.002,0
16,4,0,638,0.464,0
9,9,3,318,0.669,0
16,3,0,637,0.304,0
17,0,0,809,0.031,0
17,2,0,657,0.18,0
15,6,0,675,0.831,1
15,5,0,582,0.686,0
5,1,20,170,0.006,0
16,5,0,638,0.661,0
9,10,3,318,0.808,0
16,4,0,637,0.465,0
17,1,0,809,0.077,0
17,3,0,657,0.305,0
16,0,0,710,0.032,0
15,6,0,582,0.927,1
5,2,20,170,0.013,0
16,6,0,638,0.894,0
9,11,3,318,0.961,1
16,5,0,637,0.662,0
17,2,0,809,0.155,0
17,4,0,657,0.467,0
16,1,0,710,0.082,0
16,0,0,589,0.037,0
5,3,20,170,0.023,0
16,7,0,638,1.162,1
10,0,3,361,0.01,0
16,6,0,637,0.895,0
17,3,0,809,0.263,0
17,5,0,657,0.665,0
16,2,0,710,0.165,0
16,1,0,589,0.094,0
5,4,20,170,0.035,0
17,0,0,692,0.035,0
10,1,3,361,0.03,0
16,7,0,637,1.164,1
17,4,0,809,0.403,0
17,6,0,657,0.899,0
16,3,0,710,0.281,0
16,2,0,589,0.188,0
5,5,20,170,0.05,0
17,1,0,692,0.087,0
10,2,3,361,0.062,0
17,0,0,673,0.035,0
17,5,0,809,0.573,0
17,7,0,657,1.168,1
16,4,0,710,0.43,0
16,3,0,589,0.321,0
5,6,20,170,0.069,0
17,2,0,692,0.172,0
10,3,3,361,0.107,0
17,1,0,673,0.087,0
17,6,0,809,0.773,1
18,0,0,686,0.036,0
16,5,0,710,0.611,0
16,4,0,589,0.49,0
5,7,20,170,0.089,0
17,3,0,692,0.294,0
10,4,3,361,0.166,0
17,2,0,673,0.176,0
18,0,0,862,0.03,0
18,1,0,686,0.089,0
16,6,0,710,0.826,1
16,5,0,589,0.698,0
5,8,20,170,0.113,0
17,4,0,692,0.45,0
10,5,3,361,0.237,0
17,3,0,673,0.299,0
18,1,0,862,0.076,0
18,2,0,686,0.178,0
17,0,0,744,0.032,0
16,6,0,589,0.945,1
5,9,20,170,0.139,0
17,5,0,692,0.64,1
10,6,3,361,0.321,0
17,4,0,673,0.458,0
18,2,0,862,0.152,0
18,3,0,686,0.303,0
17,1,0,744,0.081,0
17,0,0,646,0.035,0
5,10,20,170,0.169,0
18,0,0,745,0.034,0
10,7,3,361,0.418,0
17,5,0,673,0.653,1
18,3,0,862,0.258,0
18,4,0,686,0.463,0
17,2,0,744,0.164,0
17,1,0,646,0.09,0
5,11,20,170,0.201,0
18,1,0,745,0.084,0
10,8,3,361,0.528,0
18,0,0,704,0.035,0
18,4,0,862,0.395,0
18,5,0,686,0.659,1
17,3,0,744,0.279,0
17,2,0,646,0.181,0
5,12,20,170,0.235,0
18,2,0,745,0.167,0
10,9,3,361,0.651,1
18,1,0,704,0.087,0
18,5,0,862,0.561,0
19,0,0,743,0.034,0
17,4,0,744,0.426,0
17,3,0,646,0.307,0
5,13,20,170,0.273,0
18,3,0,745,0.285,0
11,0,3,396,0.01,0
18,2,0,704,0.174,0
18,6,0,862,0.758,1
19,1,0,743,0.086,0
17,5,0,744,0.607,0
17,4,0,646,0.471,0
5,14,20,170,0.313,0
18,4,0,745,0.437,0
11,1,3,396,0.03,0
18,3,0,704,0.297,0
19,0,0,880,0.031,0
19,2,0,743,0.172,0
17,6,0,744,0.821,1
17,5,0,646,0.671,0
5,15,20,170,0.356,0
18,5,0,745,0.622,0
11,2,3,396,0.062,0
18,4,0,704,0.454,0
19,1,0,880,0.077,0
19,3,0,743,0.293,0
18,0,0,771,0.032,0
17,6,0,646,0.907,1
5,16,20,170,0.402,0
18,6,0,745,0.841,1
11,3,3,396,0.107,0
18,5,0,704,0.647,0
19,2,0,880,0.153,0
19,4,0,743,0.447,0
18,1,0,771,0.081,0
18,0,0,683,0.035,0
